Podrozdział;;Kategoria główna;
23.31;Uzupełnienie braków zębowych - inne;23.3110;Zastosowanie odlewanych skomplikowanych elementów utrzymujących i podpierających przy zastosowaniu przynajmniej dwóch elementów utrzymujących i podpierającychnie przy protezach prowizorycznych
23.31;Uzupełnienie braków zębowych - inne;23.3111;Czynności dla odtworzenia funkcji lub poszerzenia zakresu ruchomej protezy (naprawy) w małym zakresie bez wycisku
23.31;Uzupełnienie braków zębowych - inne;23.3112;Czynności dla odtworzenia funkcji lub poszerzenia zakresu ruchomej protezy (naprawy) w większym zakresie z wyciskiem
23.31;Uzupełnienie braków zębowych - inne;23.3113;Czynności dla odtworzenia funkcji lub poszerzenia zakresu ruchomej protezy (naprawy) - częściowe podścielenie jednej protezy
23.31;Uzupełnienie braków zębowych - inne;23.3114;Całkowite bezpośrednie podścielenie jednej protezy
23.31;Uzupełnienie braków zębowych - inne;23.3115;Całkowite podścielenie jednej protezy w sposób pośredni
23.31;Uzupełnienie braków zębowych - inne;23.3116;Całkowite podścielenie jednej protezy w sposób pośredni, włącznie z ukształtowaniem obrzeża – dla szczęki
23.31;Uzupełnienie braków zębowych - inne;23.3117;Całkowite podścielenie jednej protezy w sposób pośredni włącznie z czynnościowym ukształtowaniem obrzeża -dla żuchwy
23.31;Uzupełnienie braków zębowych - inne;23.3118;Czynności dla uzupełnienia brakujących tkanek miękkich, wyrównanie lub zamknięcie defektów w obrębie szczęki przy istniejącym uzębieniu resztkowym
23.31;Uzupełnienie braków zębowych - inne;23.3119;Czynności dla uzupełnienia brakujących tkanek miękkich, wyrównania lub zamknięcia defektów w obrębie bezzębnej szczęki
23.31;Uzupełnienie braków zębowych - inne;23.3120;Wykonanie obturatora dla zamknięcia podniebienia miękkiego
23.31;Uzupełnienie braków zębowych - inne;23.3121;Wykonanie tymczasowej protezy poresekcyjnej wypełniającej ubytki po resekcji lub uzupełniającej duże defekty szczęki
23.31;Uzupełnienie braków zębowych - inne;23.3122;Wykonanie protezy poresekcyjnej ostatecznej
23.31;Uzupełnienie braków zębowych - inne;23.3123;Wykonanie protezy lub epitezy dla uzupełnienia zewnątrzustrojowych  defektów części miękkich lub dla uzupełnienia brakujących części twarzy w mniejszym zakresie
23.31;Uzupełnienie braków zębowych - inne;23.3124;Wykonanie protezy lub epitezy dla uzupełnienia zewnątrzustrojowych defektów części miękkich lub dla uzupełnienia brakujących części twarzy w większym zakresie
23.31;Uzupełnienie braków zębowych - inne;23.3125;Czynności związane z odtwarzaniem funkcji koron i mostów - zdjęcie korony lanej
23.31;Uzupełnienie braków zębowych - inne;23.3126;Czynności odtwarzające wysokość zwarcia poprzez zastosowanie elementów nakładowych w protezie
23.31;Uzupełnienie braków zębowych - inne;23.3127;Zastosowanie szyny lanej do repozycji i unieruchomienia złamania szczęk lub repozycji i unieruchomienia szczęk po zabiegach korygujących wady zgryzu - za każde 2 zęby kolejne objęte szyną
